Gene,p_adj_val,chi_squared,high_stem_low_stem_log2FC,Rank,contrast
IGKC,1.077687291256661E-43,192.99118961168278,-0.7224759112577358,-192.99118961168278,High_Stem_Low_Stem
IGLC2,4.130352897112218E-32,139.8083034861229,-0.37054901835855847,-139.8083034861229,High_Stem_Low_Stem
IGHG3,0.32070545845155396,1.0192323694500374,-0.26608514336202194,-1.0192323694500374,High_Stem_Low_Stem
IGHA1,4.3315949526068374E-41,181.0232835804054,-0.3886928057569554,-181.0232835804054,High_Stem_Low_Stem
IGHG4,0.05738882038244933,3.68870988204435,-0.2810383534784323,-3.68870988204435,High_Stem_Low_Stem
IGHG1,1.032288880280255E-24,105.90002888091476,-0.14749293801821478,-105.90002888091476,High_Stem_Low_Stem
JCHAIN,7.624401586110577E-47,207.48057034658632,0.04027331433012189,207.48057034658632,High_Stem_Low_Stem
IGLC3,0.18712205269872315,1.7897444721675129,-0.18978586180987378,-1.7897444721675129,High_Stem_Low_Stem
IGHG2,4.492666445223748E-21,89.24471805863868,-0.16072113682205258,-89.24471805863868,High_Stem_Low_Stem
IGLC1,7.013612900816707E-9,33.815628894961264,-0.2996760050411922,-33.815628894961264,High_Stem_Low_Stem
APOA1,2.106156930769239E-159,726.0457861377145,-0.37236313381677727,-726.0457861377145,High_Stem_Low_Stem
APOA2,5.722285249120298E-126,571.8702188604148,-0.4201971518850616,-571.8702188604148,High_Stem_Low_Stem
ALB,1.6721086913724474E-172,786.481545827166,0.3401055078124715,786.481545827166,High_Stem_Low_Stem
APOC3,5.5023431330014935E-126,571.9493350546509,-0.4210641588784182,-571.9493350546509,High_Stem_Low_Stem
HP,1.2664179950018525E-7,28.174806860781246,0.04507765501682742,28.174806860781246,High_Stem_Low_Stem
FDCSP,4.963903060553735E-149,678.2136559970531,0.7366510394578055,678.2136559970531,High_Stem_Low_Stem
ORM1,1.0256058181410015E-162,741.3289078349299,0.022995761234889882,741.3289078349299,High_Stem_Low_Stem
SAA1,3.624995296785013E-155,706.5088190629613,2.057197097226779,706.5088190629613,High_Stem_Low_Stem
