Gene,p_val_high_vs_low,avg_logFC_high_vs_low,pct_1_high_vs_low,pct_2_high_vs_low,p_val_adj_high_vs_low
TACSTD2,8.887485579449631E-134,0.6499797203065698,0.839,0.799,2.1428616480611007E-129
SPP1,3.1137212109303656E-122,0.9223193252499053,0.607,0.41,7.507493211674205E-118
ELF3,8.802942008066584E-120,0.5076999713056747,0.801,0.678,2.122477347564934E-115
FXYD3,2.2378484532232447E-118,0.7076752470476775,0.813,0.726,5.395676405566565E-114
AQP3,3.7225334075296215E-112,0.5778114332202166,0.493,0.241,8.97540029889467E-108
NQO1,9.103961700013757E-112,0.6124663154237967,0.585,0.4,2.195056205490317E-107
CSTA,1.255110407899953E-111,0.5901227246996668,0.488,0.267,3.026196704487576E-107
EEF1A1,2.294344033358302E-110,-0.3221664765396204,0.998,0.999,5.531892898830202E-106
AKR1C2,2.957329985590246E-110,0.7882232561457025,0.536,0.379,7.130418328256642E-106
CYBA,1.517051686568129E-105,0.39107391253676393,0.837,0.68,3.657763321484416E-101
LY6E,1.57347528378045E-105,0.5734789915842056,0.793,0.764,3.7938062567230434E-101
ALDH3A1,7.212712764123166E-104,0.8170838725996876,0.508,0.31,1.7390571745577365E-99
CTSD,1.720869231893198E-103,0.40402166117511995,0.804,0.739,4.14918780501769E-99
GSTP1,3.81204121805937E-103,0.4591341684947605,0.921,0.859,9.191212580862947E-99
CDH11,8.270278049700673E-101,-0.3605171121128683,0.075,0.26,1.994046740563329E-96
RPS12,6.194542030286198E-95,-0.28387810444041994,0.997,0.993,1.4935660289223052E-90
CLDN4,5.919227559389378E-93,0.5201502876777027,0.806,0.788,1.427184956844373E-88
S100A6,4.339968347417494E-92,0.4371455694858941,1.0,0.999,1.046409768245832E-87
TSPAN1,8.581035924441487E-92,0.431495260674837,0.658,0.543,2.068973571742087E-87
CALML5,1.462408033570294E-91,0.4200200652718359,0.241,0.062,3.5260120097413356E-87
PRDX1,8.037253695540698E-91,0.49752369461662327,0.862,0.754,1.9378622385318175E-86
ITPR2,4.967635226828276E-90,-0.30215313097061436,0.083,0.266,1.1977465295405656E-85
RPL36,8.976476998361654E-90,-0.2978668219719478,0.998,0.997,2.1643183690749783E-85
SLPI,3.217304143557083E-88,0.5319954559231155,0.88,0.802,7.757242020530483E-84
TALDO1,4.884322412896595E-88,0.35503747907449124,0.715,0.608,1.177658976973498E-83
PMEPA1,5.772584346100068E-87,-0.5627287360207599,0.309,0.499,1.3918278116881875E-82
CST3,3.432495044406052E-86,0.3049555356638092,0.907,0.856,8.276088801567433E-82
GPX2,4.3219888085457664E-86,0.46381651963545234,0.532,0.353,1.0420747216284697E-81
EEF2,6.003361051839255E-86,-0.38281240960308094,0.74,0.875,1.447470383208963E-81
COX6A1,2.874301357747963E-85,0.23350700667821322,0.932,0.913,6.930228003666114E-81
AGR2,4.9123394630404056E-85,0.5579995407104326,0.644,0.453,1.1844141679336722E-80
RPL23,9.163163607052037E-85,-0.2248151045424991,0.983,0.991,2.2093303772963164E-80
AKR1C1,1.4373792064393848E-84,0.5288618203933995,0.565,0.365,3.465665004646001E-80
RPS6,1.2542286411807472E-82,-0.2608262207837311,0.987,0.989,3.0240706767508996E-78
ADIRF,4.3165464822356735E-82,0.4515965280769394,0.69,0.626,1.0407625223318432E-77
COX6C,4.773327671019835E-82,0.2525410487168569,0.956,0.961,1.1508970347595925E-77
EEF1B2,6.168324040764942E-82,-0.24583518108479563,0.9,0.937,1.4872446094688353E-77
RPS28,1.9329012033030506E-81,-0.34074673841753844,0.998,0.995,4.660418091283985E-77
S100A9,3.5570561375819218E-81,0.6480275278201055,0.565,0.335,8.576418053323772E-77
SVIL,4.488330884504418E-81,-0.40099051832844196,0.27,0.406,1.0821814595628601E-76
TNC,1.257504993196658E-80,-0.34493192941350154,0.077,0.24,3.031970289096462E-76
TXN,3.1692700729801604E-80,0.4096047790189301,0.964,0.982,7.641427072962464E-76
DUSP6,7.039182386226224E-80,-0.41859431747756704,0.241,0.406,1.697217265143005E-75
VAMP8,8.042436664201873E-80,0.23187988685419447,0.835,0.789,1.9391119041057138E-75
LY6D,8.658331564849396E-79,0.8291462725530612,0.525,0.379,2.087610323600838E-74
RPL10,3.825500084481871E-78,-0.29980909611897966,0.999,0.999,9.22366325369424E-74
RPL32,2.491760950311493E-77,-0.23671315904352142,0.998,0.999,6.00788482729604E-73
RPS27,4.9899440776345225E-76,-0.3121406106295628,0.998,0.997,1.2031254165584597E-71
RPL4,1.2324552808111536E-75,-0.23244237013550895,0.974,0.98,2.9715729275637724E-71
FTX,2.9212161988266734E-74,-0.38652373637672494,0.208,0.377,7.043344376990992E-70
MGST1,3.2529286643953602E-74,0.4415455903324428,0.763,0.676,7.843136302723653E-70
S100A11,1.9112488759563156E-73,0.33065020633796083,0.994,0.99,4.6082121648182724E-69
RPS18,2.4867972096352124E-73,-0.24564095893990467,1.0,1.0,5.995916752151461E-69
RPL27A,4.294198789287966E-72,-0.2368695190147747,0.999,0.999,1.0353742700852215E-67
RPL12,6.620086702770933E-72,-0.23062631953675128,0.998,0.997,1.5961691049050997E-67
LTBP2,7.019376806598873E-72,-0.1967190577442219,0.062,0.213,1.692441941839054E-67
ITGA2,7.890247350667437E-72,-0.372197120391176,0.275,0.42,1.9024175387194256E-67
WFDC2,8.941602194890688E-72,0.5982426416030009,0.657,0.544,2.1559097052100938E-67
ENAH,1.840513304559354E-71,-0.2775880218432936,0.234,0.407,4.4376616286230585E-67
DPYSL3,2.0108662381607637E-71,-0.2512426963130682,0.08,0.24,4.8483995868294176E-67
PALM2-AKAP2,3.621674201591587E-71,-0.21444865101372637,0.077,0.24,8.732218667457476E-67
S100P,5.3763425507219756E-71,0.571017934138017,0.6,0.422,1.2962899524045755E-66
MRC2,1.826262073288267E-70,-0.26820973041124585,0.094,0.26,4.40330048490534E-66
RASSF6,1.9316426692494892E-70,-0.23221953718502164,0.076,0.23,4.6573836398274436E-66
ATP6V0E1,5.274614409821988E-70,0.22601048634441812,0.83,0.808,1.2717622803521795E-65
MMP2,1.1009545234021958E-69,-0.21099732605888954,0.049,0.192,2.6545114513750343E-65
VGLL4,2.0514935708150915E-69,-0.26324268692762787,0.192,0.368,4.946356148592267E-65
COL4A2,4.0282914463541667E-69,-0.3640263222968739,0.162,0.331,9.71261350630453E-65
ARPC3,9.721601235791298E-69,0.2173677374996127,0.854,0.823,2.3439752739616398E-64
EGFR,1.4912184107186444E-68,-0.26227239476491315,0.159,0.335,3.5954767100837235E-64
C1R,6.3545795574715955E-68,-0.36170300665631966,0.215,0.39,1.5321526771019765E-63
ADGRF1,7.4055290981975E-68,0.24682324036396025,0.307,0.125,1.785547120866399E-63
MALAT1,1.010638576045164E-67,-0.2748948813105194,0.995,0.999,2.436750670702495E-63
VIM,7.137541414063207E-67,-0.3465242348644182,0.431,0.652,1.7209326103447799E-62
COL6A2,2.247338060658915E-66,-0.3564324220790397,0.149,0.322,5.41855679805471E-62
COMT,5.22904963850753E-66,0.20037996045770778,0.633,0.571,1.2607761583405505E-61
NAP1L1,7.547150901328874E-66,-0.21182429289895233,0.668,0.838,1.8196935538194048E-61
NEDD9,2.759529653069024E-65,-0.31023897312204257,0.239,0.408,6.653501946514724E-61
MGST2,5.902959349916249E-65,0.22841647078506722,0.545,0.362,1.4232625288583068E-60
EPHX1,6.51337105863241E-65,0.28071164144470323,0.508,0.361,1.5704388959468605E-60
CCND2,7.457365318069435E-65,-0.24772035699534628,0.062,0.203,1.7980453518397215E-60
FABP5,8.988964823903849E-65,0.6165443409341056,0.642,0.502,2.167329308691457E-60
EEF1G,1.819792816903702E-64,-0.254104383380648,0.975,0.981,4.3877024608365157E-60
ZFP36L1,3.710909261031687E-64,-0.3230538086744241,0.498,0.687,8.947373319273501E-60
CSTB,3.725488677610288E-64,0.3281779761170045,0.906,0.901,8.982525750586165E-60
FN1,1.2170561149234656E-63,-0.5925709280217673,0.183,0.342,2.934443998691968E-59
FILIP1L,3.4069431540539783E-63,-0.2390436106689272,0.067,0.21,8.214480638739548E-59
RPL36A,4.2437392325028743E-63,-0.19868023787989753,0.997,0.992,1.023207966348768E-58
PEG10,5.976079309056666E-63,-0.32071584520926155,0.119,0.281,1.4408924822066527E-58
PSCA,1.1278126764589452E-62,0.8335054762866148,0.529,0.383,2.7192691442101627E-58
RPL13A,1.2107860232452786E-62,-0.25354194885675074,1.0,1.0,2.919326180646691E-58
ETFB,2.6928250193555983E-62,0.30926450006702844,0.726,0.615,6.492670404168283E-58
LGALS3,1.344809906066773E-61,0.32743571615416744,0.905,0.893,3.2424711645175964E-57
SMIM22,1.6896943247941452E-61,0.26447962371413414,0.748,0.594,4.0740219865111637E-57
SNCG,2.043618955245553E-61,0.38204683320298694,0.623,0.573,4.927369662992553E-57
ANXA1,2.423569459472256E-61,0.4725290013144392,0.752,0.717,5.843468323733557E-57
KRT6A,2.6182866431739582E-61,-0.5365724677493093,0.399,0.343,6.31295092535673E-57
RPS8,7.925087924178751E-61,-0.20275771755433203,0.998,0.998,1.9108179493987387E-56
VCAN,3.151368886002837E-60,-0.28497079220782107,0.064,0.202,7.59826552104144E-56
